state,ww2Per100k,ww2Pct,ww2
New Hampshire,92.43581203006447,0.09243581203006447,1296
Rhode Island,60.12982201937659,0.06012982201937659,659
Connecticut,52.305997828139965,0.052305997828139966,1892
Oregon,50.19655790982005,0.050196557909820055,2125
North Dakota,48.473963103660296,0.0484739631036603,380
Montana,47.66898655734579,0.04766898655734579,540
Minnesota,44.52836962555214,0.044528369625552136,2555
Pennsylvania,44.22265225896977,0.044222652258969763,5732
Wisconsin,43.207908028398116,0.04320790802839811,2554
Delaware,36.92254019323765,0.03692254019323765,381
Michigan,36.67335142525436,0.03667335142525436,3681
Washington,35.14709044552073,0.03514709044552073,2746
Florida,35.10280917118716,0.03510280917118716,7937
Virginia,34.776331167050536,0.034776331167050534,3031
Maine,34.17586023577761,0.034175860235777615,477
Maryland,31.14759217786068,0.03114759217786068,1925
Missouri,30.43822653916396,0.030438226539163962,1886
Hawaii,29.892595694630064,0.029892595694630063,429
Utah,29.87359460976191,0.029873594609761907,1021
Illinois,29.036576125511953,0.029036576125511953,3644
Massachusetts,28.551436648589807,0.028551436648589806,1999
Ohio,28.457648884029993,0.028457648884029994,3354
South Carolina,28.342503240406025,0.028342503240406026,1523
Grand Total,28.22149788232022,0.028221497882320222,94518
California,27.468104674856864,0.027468104674856865,10703
New York,26.865985230554912,0.026865985230554914,5258
Indiana,26.420102360773857,0.02642010236077386,1813
New Jersey,25.681205824101394,0.025681205824101393,2386
Arizona,25.594293575966876,0.025594293575966875,1902
Mississippi,23.88006898686596,0.02388006898686596,702
Tennessee,23.854663916551335,0.023854663916551333,1700
Oklahoma,22.694621177436417,0.022694621177436418,920
District of Columbia,22.681347684440595,0.022681347684440595,154
Idaho,21.987798807569096,0.021987798807569094,432
North Carolina,21.95562711463652,0.02195562711463652,2379
Kentucky,21.917062477326223,0.021917062477326225,992
Nevada,21.163517602035704,0.021163517602035702,676
Vermont,20.696131367921616,0.020696131367921616,134
Colorado,20.535557820270483,0.020535557820270486,1207
Iowa,19.51977609008283,0.01951977609008283,626
Wyoming,19.347426706639933,0.019347426706639935,113
South Dakota,18.27441646960029,0.01827441646960029,168
Kansas,17.105666770728973,0.017105666770728972,503
Nebraska,17.084694085410327,0.01708469408541033,338
Arkansas,16.95063323654087,0.01695063323654087,520
Texas,16.942428624364293,0.016942428624364292,5168
Georgia,16.800814780582538,0.016800814780582537,1853
West Virginia,15.875069418119388,0.01587506941811939,281
Alabama,15.32749152975021,0.015327491529750211,783
Louisiana,9.401477868593139,0.00940147786859314,430
New Mexico,3.594449602269422,0.003594449602269422,76
Alaska,0.0,0.0,0
